University,Program,Year,Closing_Merit,Total_Seats,Applicants,Admission_Status
Mehran University of Engineering and Technology,Mechanical Engineering,2017,75.56,50,433,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2016,121.03,150,1958,Closed
University of Sargodha,Chemical Engineering,2024,71.42,50,672,Closed
University of Karachi,Software Engineering,2015,75.31,80,705,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2015,91.25,40,782,Closed
Institute of Space Technology (IST),Business Administration,2019,80.64,50,298,Closed
Mehran University of Engineering and Technology,Data Science,2024,84.87,50,489,Closed
COMSATS University Islamabad,Mechanical Engineering,2023,79.42,50,323,Closed
Institute of Space Technology (IST),Computer Science,2024,91.13,80,722,Closed
FAST National University,Biomedical Engineering,2015,86.66,40,423,Closed
NED University of Engineering and Technology,Computer Science,2019,90.31,50,449,Closed
Lahore University of Management Sciences (LUMS),Mathematics,2021,94.33,40,443,Closed
University of Central Punjab (UCP),Economics,2015,,50,656,Closed
National University of Sciences and Technology (NUST),Data Science,2020,99.46,40,586,Closed
University of Engineering and Technology (UET) Taxila,Chemical Engineering,2023,88.03,50,362,Closed
Institute of Space Technology (IST),Data Science,2018,87.66,150,1239,Closed
Superior University Lahore,Mechanical Engineering,2024,68.05,50,320,Closed
University of Gujrat,Artificial Intelligence,2022,76.75,100,589,Closed
Punjab University (PU),Mechanical Engineering,2016,80.29,60,872,Closed
COMSATS University Islamabad,Civil Engineering,2018,74.14,60,727,Closed
Punjab University (PU),Software Engineering,2019,86.37,40,222,Closed
University of Management and Technology (UMT),Electrical Engineering,2023,76.5,120,898,Closed
University of Central Punjab (UCP),Software Engineering,2020,74.82,40,275,Closed
Quaid-i-Azam University (QAU),Chemical Engineering,2021,88.92,150,1519,Closed
National University of Sciences and Technology (NUST),Business Administration,2023,92.87,50,353,Closed
Islamia University of Bahawalpur,Electrical Engineering,2023,73.67,80,526,Closed
Superior University Lahore,Computer Science,2024,69.05,40,304,Closed
University of Karachi,Business Administration,2018,73.48,120,1820,Closed
Bahria University,Biomedical Engineering,2018,78.56,150,698,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2023,71.44,100,993,Closed
Air University Islamabad,Mechanical Engineering,2015,77.16,50,652,Closed
University of Sargodha,Data Science,2022,72.03,80,367,Closed
Air University Islamabad,Chemical Engineering,2022,85.11,120,1300,Closed
Quaid-i-Azam University (QAU),Mathematics,2022,86.11,150,2643,Closed
National University of Sciences and Technology (NUST),Economics,2016,90.6,40,575,Closed
NED University of Engineering and Technology,Mathematics,2016,82.34,40,669,Closed
Lahore University of Management Sciences (LUMS),Biomedical Engineering,2018,99.04,100,676,Closed
Air University Islamabad,Computer Science,2018,87.1,100,1231,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2022,91.31,80,744,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2015,93.01,120,1705,Closed
University of Central Punjab (UCP),Chemical Engineering,2021,70.58,40,502,Closed
University of the Punjab (Gujranwala Campus),Chemical Engineering,2021,74.1,80,349,Closed
Riphah International University,Data Science,2016,75.39,100,1507,Closed
COMSATS University Islamabad,Business Administration,2023,76.63,150,1506,Closed
Quaid-i-Azam University (QAU),Electrical Engineering,2021,87.65,60,799,Closed
University of Sargodha,Electrical Engineering,2018,66.47,120,499,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2018,87.6,120,2251,Closed
Islamia University of Bahawalpur,Software Engineering,2022,73.09,50,293,Closed
Lahore University of Management Sciences (LUMS),Data Science,2020,99.5,40,232,Closed
University of Karachi,Mechanical Engineering,2024,76.64,120,558,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2024,77.74,80,357,Closed
University of Gujrat,Business Administration,2015,65.15,40,361,Closed
Islamia University of Bahawalpur,Chemical Engineering,2015,141.91,150,844,Closed
University of Gujrat,Mechanical Engineering,2023,68.73,50,574,Closed
University of Gujrat,Electrical Engineering,2021,69.37,60,785,Closed
Mehran University of Engineering and Technology,Software Engineering,2021,79.2,150,2419,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2021,96.95,80,798,Closed
University of Central Punjab (UCP),Civil Engineering,2019,66.24,40,411,Closed
Air University Islamabad,Civil Engineering,2016,76.09,100,929,Closed
FAST National University,Artificial Intelligence,2021,94.23,100,982,Closed
COMSATS University Islamabad,Economics,2016,79.31,120,1604,Closed
Ghulam Ishaq Khan Institute (GIKI),Civil Engineering,2019,87.86,40,301,Closed
University of Engineering and Technology (UET) Taxila,Mechanical Engineering,2017,83.76,150,1702,Closed
Islamia University of Bahawalpur,Data Science,2019,72.38,150,1131,Closed
Bahria University,Civil Engineering,2023,76.16,150,1015,Closed
University of Sargodha,Electrical Engineering,2019,67.39,60,515,Closed
University of Sargodha,Biomedical Engineering,2024,70.19,80,674,Closed
University of Karachi,Civil Engineering,2017,70.05,150,943,Closed
NED University of Engineering and Technology,Business Administration,2017,81.89,60,295,Closed
Riphah International University,Economics,2019,70.5,50,662,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2023,99.5,80,1134,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2015,88.37,50,587,Closed
University of Management and Technology (UMT),Mechanical Engineering,2018,69.55,60,745,Closed
University of Sargodha,Business Administration,2016,61.32,50,544,Closed
University of Central Punjab (UCP),Artificial Intelligence,2016,75.42,150,1006,Closed
Mehran University of Engineering and Technology,Mathematics,2024,77.21,60,320,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2022,72.58,80,1203,Closed
University of Gujrat,Computer Science,2020,74.7,50,760,Closed
NED University of Engineering and Technology,Chemical Engineering,2023,87.1,100,753,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2024,93.04,50,966,Closed
FAST National University,Electrical Engineering,2017,86.85,80,1452,Closed
Institute of Space Technology (IST),Chemical Engineering,2018,81.25,120,838,Closed
University of Gujrat,Mechanical Engineering,2024,67.56,60,710,Closed
University of Sargodha,Business Administration,2022,65.27,50,265,Closed
Islamia University of Bahawalpur,Mathematics,2021,65.46,50,279,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2017,74.77,80,871,Closed
University of the Punjab (Gujranwala Campus),Mathematics,2018,72.96,120,1733,Closed
Islamia University of Bahawalpur,Mechanical Engineering,2020,66.68,80,853,Closed
Punjab University (PU),Civil Engineering,2021,79.48,80,479,Closed
Lahore University of Management Sciences (LUMS),Biomedical Engineering,2022,99.5,50,531,Closed
Riphah International University,Artificial Intelligence,2024,79.1,40,238,Closed
Mehran University of Engineering and Technology,Business Administration,2022,76.24,120,1456,Closed
University of Agriculture Faisalabad (UAF),Artificial Intelligence,2024,76.96,60,451,Closed
University of Sargodha,Data Science,2019,71.68,150,1787,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2022,68.74,50,712,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2019,94.53,40,785,Closed
Lahore University of Management Sciences (LUMS),Software Engineering,2024,99.5,60,1171,Closed
COMSATS University Islamabad,Civil Engineering,2024,75.5,100,595,Closed
University of Management and Technology (UMT),Economics,2017,69.14,120,1241,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2020,97.5,40,716,Closed
Air University Islamabad,Business Administration,2024,78.89,40,466,Closed
Air University Islamabad,Civil Engineering,2015,75.13,120,615,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2024,73.52,40,168,Closed
Bahria University,Electrical Engineering,2019,80.92,60,605,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2019,91.63,60,1036,Closed
Superior University Lahore,Computer Science,2020,72.29,120,1472,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2017,93.08,120,1168,Closed
University of Management and Technology (UMT),Mathematics,2024,68.77,50,723,Closed
Institute of Space Technology (IST),Electrical Engineering,2023,86.67,60,986,Closed
Islamia University of Bahawalpur,Computer Science,2021,73.97,100,483,Closed
Riphah International University,Economics,2017,66.52,100,706,Closed
University of the Punjab (Gujranwala Campus),Business Administration,2021,73.5,60,915,Closed
University of Engineering and Technology (UET) Lahore,Economics,2015,86.69,80,638,Closed
Bahria University,Mechanical Engineering,2022,78.03,40,267,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2018,97.21,80,1210,Closed
Lahore University of Management Sciences (LUMS),Business Administration,2021,95.52,60,1002,Closed
Bahauddin Zakariya University (BZU) Multan,Mathematics,2021,71.39,120,1474,Closed
Bahria University,Economics,2017,78.46,150,2398,Closed
Air University Islamabad,Economics,2022,80.97,60,1011,Closed
University of Karachi,Software Engineering,2017,80.12,150,874,Closed
Quaid-i-Azam University (QAU),Software Engineering,2021,89.95,120,671,Closed
University of Central Punjab (UCP),Economics,2017,67.95,40,470,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2017,68.0,60,531,Closed
Bahria University,Civil Engineering,2015,73.17,40,211,Closed
Islamia University of Bahawalpur,Chemical Engineering,2023,73.15,100,1414,Closed
University of Agriculture Faisalabad (UAF),Chemical Engineering,2023,72.41,40,510,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2022,92.05,80,539,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2020,93.65,40,747,Closed
University of Sargodha,Mathematics,2020,67.5,80,742,Closed
Superior University Lahore,Economics,2019,65.18,120,1500,Closed
Institute of Space Technology (IST),Business Administration,2017,78.63,150,1254,Closed
Mehran University of Engineering and Technology,Mechanical Engineering,2023,79.86,80,1308,Closed
Institute of Space Technology (IST),Computer Science,2017,86.23,40,266,Closed
Lahore University of Management Sciences (LUMS),Business Administration,2016,94.21,50,293,Closed
Islamia University of Bahawalpur,Data Science,2022,75.97,50,733,Closed
National University of Sciences and Technology (NUST),Business Administration,2020,90.57,120,1036,Closed
University of Karachi,Computer Science,2016,81.36,120,1247,Closed
University of Engineering and Technology (UET) Taxila,Chemical Engineering,2024,87.3,80,1178,Closed
Superior University Lahore,Computer Science,2022,70.68,80,1004,Closed
COMSATS University Islamabad,Artificial Intelligence,2024,88.83,40,213,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2024,76.73,100,874,Closed
Islamia University of Bahawalpur,Chemical Engineering,2024,70.84,80,380,Closed
Air University Islamabad,Artificial Intelligence,2021,89.03,100,1074,Closed
University of Gujrat,Chemical Engineering,2015,70.05,60,640,Closed
Mehran University of Engineering and Technology,Economics,2018,76.43,150,1769,Closed
Bahria University,Economics,2020,76.64,120,928,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2023,78.32,40,628,Closed
University of Engineering and Technology (UET) Taxila,Mathematics,2018,139.76,60,691,Closed
University of Karachi,Electrical Engineering,2022,75.05,100,934,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2023,94.18,120,1508,Closed
Punjab University (PU),Computer Science,2024,86.82,120,2002,Closed
University of Gujrat,Biomedical Engineering,2023,72.82,60,628,Closed
University of Central Punjab (UCP),Electrical Engineering,2024,72.24,120,1590,Closed
COMSATS University Islamabad,Economics,2015,78.05,100,1110,Closed
University of Karachi,Biomedical Engineering,2023,75.83,150,1338,Closed
Lahore University of Management Sciences (LUMS),Economics,2018,92.02,120,1074,Closed
Institute of Space Technology (IST),Biomedical Engineering,2023,85.52,150,2372,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2023,74.16,100,1533,Closed
University of Engineering and Technology (UET) Taxila,Computer Science,2022,90.15,50,581,Closed
University of Management and Technology (UMT),Civil Engineering,2018,67.35,60,358,Closed
University of Engineering and Technology (UET) Taxila,Mathematics,2021,84.4,150,930,Closed
Mehran University of Engineering and Technology,Chemical Engineering,2017,76.71,120,1899,Closed
University of Engineering and Technology (UET) Lahore,Computer Science,2018,97.57,120,1864,Closed
Punjab University (PU),Chemical Engineering,2020,80.66,80,685,Closed
